judul,teks,link-href,label
"5 Kesalahpahaman dalam Implementasi Kurikulum Merdeka, Catat Ya!","Direktur Parameter Politik Indonesia, Adi Prayitno mendesak pemerintah dan DPR segera mencairkan dana pemilu. Apa alasannya?",https://www.detik.com/edu/detikpedia/d-6190915/sejarah-hari-anak-nasional-diperingati-tiap-23-juli,1
Pemerintah-DPR Didesak Segera Kucurkan Dana Pemilu,Peringatan Hari Anak Nasional bermula saat Keputusan Presiden RI No. 44 tahun 1984 dikeluarkan. Berikut sejarah Hari Anak Nasional.,https://finance.detik.com/berita-ekonomi-bisnis/d-6179828/pemerintah-godok-kebijakan-keringanan-petani-ini-kisi-kisinya,1
Bolehkah Puasa Arafah Saat Sudah Ada yang Merayakan Idul Adha?,"Rasulullah Muhhammad SAW dengan gamblang melarang umatnya untuk berpuasa di hari-hari besar Islam, padahal di Indonesia sering terjadi perbedaan penetapan hari.",https://www.detik.com/edu/detikpedia/d-6168976/pengertian-demokrasi-model-dan-prinsipnya,1
"Pengertian Demokrasi, Model, dan Prinsipnya",Demokrasi adalah bentuk atau sistem pemerintahan dengan rakyat turut serta memerintah dengan perantara wakilnya. Berikut model dan prinsip demokrasi.,https://www.detik.com/edu/detikpedia/d-6169124/puasa-arafah-ikut-momen-wukuf-di-arab-atau-hasil-sidang-isbat,1
Puasa Arafah Ikut Momen Wukuf di Arab atau Hasil Sidang Isbat?,Penetapan hari Arafah di Arab Saudi dan Indonesia berbeda. Hal ini mungkin membingungkan sebagian muslim untuk acuan dalam memulai puasa Arafah.,https://www.detik.com/edu/detikpedia/d-6166908/hukum-puasa-arafah-saat-sudah-ada-yang-idul-adha-bolehkah,1
"Hukum Puasa Arafah saat Sudah Ada yang Idul Adha, Bolehkah?","Idul Adha adalah salah satu waktu yang diharamkan berpuasa oleh Rasulullah SAW. Lalu, bagaimana hukum puasa Arafah mengingat ada perbedaan waktu hari raya?",https://news.detik.com/berita/d-6165075/pemerintah-lempar-bola-panas-urusan-buka-draf-rkuhp-untuk-publik-ke-dpr,1
Pemerintah Lempar 'Bola Panas' Urusan Buka Draf RKUHP untuk Publik ke DPR,Pemerintah menyerahkan draf RKUHP ke DPR. Kapan draf itu akan dibuka ke publik?,https://www.detik.com/edu/detikpedia/d-6159823/apa-itu-komposisi-penduduk-ini-pengertian-kategori-dan-karakteristiknya,1
"Apa Itu Komposisi Penduduk? Ini Pengertian, Kategori, dan Karakteristiknya",Komposisi penduduk adalah proses menganalisis hingga mengelompokkan penduduk berdasarkan kategori tertentu. Berikut kategori dan karakteristiknya.,https://news.detik.com/berita/d-6158375/muncul-usulan-wartawan-dapat-tunjangan-pemerintah-pwi-menolak,1
"Muncul Usulan Wartawan Dapat Tunjangan Pemerintah, PWI Menolak!",Pengurus Persatuan Wartawan Indonesia (PWI) Pusat menolak usulan wartawan yang telah dinyatakan kompeten mendapatkan gaji atau tunjangan dari pemerintah.,https://finance.detik.com/energi/d-6156901/sri-mulyani-akhirnya-bayar-utang-ke-pertamina-rp-645-t,1
"Sri Mulyani Akhirnya Bayar Utang ke Pertamina Rp 64,5 T","Pertamina telah menerima pembayaran dari pemerintah atas kompensasi penyaluran BBM dan LPG Subsidi yang telah dilakukan pada tahun 2021 sebesar Rp 64,5 triliun.",https://news.detik.com/berita/d-6151612/km-itb-buka-draf-rkuhp-tinjau-ulang-pasal-bermasalah,1
"KM ITB: Buka Draf RKUHP, Tinjau Ulang Pasal Bermasalah!","KM ITB mengkritik RKUHP yang memuat pasal problematik sekaligus proses legislasinya yang tidak transparan. Maka, KM ITB meminta agar RKUHP ditinjau ulang.",https://www.detik.com/edu/detikpedia/d-6150884/jadwal-libur-idul-adha-2022-versi-pemerintah-hari-biasa-atau-weekend,1
Ragam Alasan Pemerintah soal Draf Terbaru RKUHP Belum Dibuka,Pemerintah belum juga membuka draf terbaru RKUHP ke publik. Ada beragam alasan mengapa draf terbaru itu belum juga dibuka pemerintah.,https://news.detik.com/berita/d-6142978/pemerintah-ganti-rp-10-juta-per-sapi-yang-dimusnahkan-gegara-pmk,1
Pemerintah Ganti Rp 10 Juta Per Sapi yang Dimusnahkan Gegara PMK,Pemerintah akan memberikan biaya ganti untuk hewan ternak yang dimusnahkan paksa. Biaya itu diberikan untuk ternak yang dimusnahkan karena terinfeksi PMK.,https://news.detik.com/berita/d-6134824/kemenkeu-belum-bikin-rencana-anggaran-pemilu-2024-rp-766-t-dimulai-2023,1
"Kemenkeu Belum Bikin Rencana Anggaran Pemilu 2024 Rp 76,6 T: Dimulai 2023","Komisi II DPR dan KPU sudah menyepakati anggaran Pemilu 2024 sebesar Rp 76,6 triliun. Apakah pemerintah pasti sudah setuju?",https://www.detik.com/jateng/hukum-dan-kriminal/d-6128227/rkuhp-hina-pemerintah-di-medsos-dipenjara-4-tahun,1
RKUHP: Hina Pemerintah di Medsos Dipenjara 4 Tahun!,Pemerintah dan DPR segera mengesahkan rancangan KUHP yang salah satu isinya adalah ancaman hukuman bagi penghina pemerintah.,https://news.detik.com/berita/d-6127931/rkuhp-hina-pemerintah-dihukum-3-tahun-penjara,1
RKUHP: Hina Pemerintah Dihukum 3 Tahun Penjara!,Pemerintah dan DPR rencananya akan mengesahkan Rancangan KUHP bulan depan. Salah satunya berisi ancaman bagi masyarakat yang menghina pemerintah!,https://www.detik.com/edu/detikpedia/d-6127472/riwayat-reshuffle-kabinet-jokowi-sejak-periode-pertama-hingga-kini,1
Riwayat Reshuffle Kabinet Jokowi Sejak Periode Pertama hingga Kini,"Sejak periode pertama pada 2014-2019 hingga periode kedua saat ini, Presiden Joko Widodo telah melakukan enam kali reshuffle kabinet. Berikut riwayatnya.",https://finance.detik.com/berita-ekonomi-bisnis/d-6085166/tjahjo-kumolo-pns-jangan-memaki-pemerintah,1
Tjahjo Kumolo: PNS Jangan Memaki Pemerintah,"""ASN harus menyaring apa yang akan di-share dan jangan memaki-maki pemerintahan itu sendiri,"" ujar Tjahjo.",https://news.detik.com/berita/d-6077299/ipw-pembangunan-tol-perbaikan-arteri-yang-masif-dukung-kelancaran-mudik,1
IPW: Pembangunan Tol-Perbaikan Arteri yang Masif Dukung Kelancaran Mudik,"Sugeng menilai sinergi antara Pemerintah dan Polri terlaksana, sehingga mudik dan arus balik Lebaran tahun ini minim kejadian menonjol.",https://news.detik.com/berita/d-6075845/dpr-pemerintah-rapat-di-hotel-saat-reses-bahas-tahapan-pemilu,1
"DPR-Pemerintah Rapat di Hotel Saat Reses, Bahas Tahapan Pemilu","Komisi II DPR RI menggelar rapat konsinyering bersama Kementerian Dalam Negeri, KPU, Bawaslu, dan DKPP membahas tahapan Pemilu 2024 di hotel daerah Jakarta.",https://news.detik.com/detiktv/d-6052780/pemerintah-berikan-modal-usaha-pada-keluarga-korban-tragedi-trisakti,1
Pemerintah & BUMN Mestinya Bisa Belanja Produk Lokal Sampai Rp 1.900 T,Menteri Koperasi dan UKM Teten Masduki menyebutkan potensi pembelian produk dalam negeri melalui belanja pemerintah dan BUMN mencapai Rp 1.901 triliun.,https://www.detik.com/edu/perguruan-tinggi/d-6025904/siapa-saja-yang-dapat-mendaftar-kip-kuliah--ini-golongannya,1
Siapa Saja yang Dapat Mendaftar KIP Kuliah?  Ini Golongannya,Siapa Saja yang berhak mendapatkan KIP Kuliah 2022. Simak di sini untuk mengetahui lebih lanjut.,https://news.detik.com/berita/d-6025516/anwar-abbas-minta-pemerintah-tak-halangi-peserta-demo-11-april,1
Anwar Abbas Minta Pemerintah Tak Halangi Peserta Demo 11 April,Waketum MUI Anwar Abbas meminta pemerintah tidak menghalang-halangi rencana mahasiswa untuk menggelar demo pada 11 April besok,https://news.detik.com/internasional/d-6018343/kabinet-pemerintah-kuwait-mengundurkan-diri-usai-3-bulan-dilantik-ada-apa,1
"Kabinet Pemerintah Kuwait Mengundurkan Diri Usai 3 Bulan Dilantik, Ada Apa?",Pemerintah Kuwait mengundurkan diri usai tiga bulan dilantik. Pengunduran diri terjadi di tengah meningkatnya perselisihan pemerintah dengan parlemen.,https://news.detik.com/berita/d-6001647/mencuat-kemungkinan-beda-awal-puasa-jelang-sidang-isbat,1
Mencuat Kemungkinan Beda Awal Puasa Jelang Sidang Isbat,"Bulan Ramadan segera tiba. Untuk bulan Ramadan kali ini, ada kemungkinan perbedaan momentum hari pertama puasa antara pemerintah dan Muhammadiyah.",https://news.detik.com/berita/d-5998392/baleg-dpr-pemerintah-mulai-bahas-ruu-tpks-hari-ini,1
Baleg DPR-Pemerintah Mulai Bahas RUU TPKS Hari Ini,Badan Legislasi (Baleg) DPR RI telah memulai pembahasan kelanjutan Rancangan Undang-Undang Tindak Pidana Kekerasan Seksual (RUU TPKS) bersama pemerintah.,https://finance.detik.com/berita-ekonomi-bisnis/d-5993932/cukai-sudah-naik-pemerintah-diminta-awasi-harga-rokok,1
"Cukai Sudah Naik, Pemerintah Diminta Awasi Harga Rokok",Pemerintah diminta untuk memperketat pengawasan terhadap harga rokok.,https://www.detik.com/edu/perguruan-tinggi/d-5981466/3-sekolah-kedinasan-jurusan-ips-bisa-jadi-cpns-dan-bebas-biaya-kuliah,1
"3 Sekolah Kedinasan Jurusan IPS, Bisa jadi CPNS dan Bebas Biaya Kuliah",Sejumlah siswa lulusan IPS mungkin masih ada yang kebingungan dalam memilih sekolah kedinasan yang sejalur dengan bidangnya. Ini 3 instansi yang bisa dipilih!,https://www.detik.com/edu/detikpedia/d-5973728/usulan-tunda-pemilu-pakar-politik-ugm-kepercayaan-warga-bisa-hilang,1
"Usulan Tunda Pemilu, Pakar Politik UGM: Kepercayaan Warga Bisa Hilang","Pengamat politik UGM Wawan Mas'udi menilai daripada menunda pemilu 2024, kalangan partai politik dapat menunjukkan kinerja lewat anggotanya.",https://news.detik.com/berita/d-5972659/memanas-wacana-tunda-pemilu-tapi-pemerintah-bilang-tak-pernah-bahas,1
Dosen Unair Sebut Ada Dua Negara yang Aman untuk Evakuasi WNI di Ukraina,Ada dua negara yang dinilai aman untuk tempat evakuasi WNI. Hal itu dikarenakan kedua negara tersebut memiliki keanggotaan Uni Eropa dan NATO.,https://news.detik.com/berita/d-5952850/melesat-survei-kepuasan-jokowi-tuai-beragam-pendapat,1
Melesat Survei Kepuasan Jokowi Tuai Beragam Pendapat,Survei Litbang Kompas menunjukkan tingkat kepuasan publik terhadap kinerja pemerintahan Jokowi-Ma'ruf Amin melonjak. Partai koalisi-oposisi memberikan pendapat.,https://news.detik.com/berita/d-5938425/soal-insiden-wadas-pemerintah-buka-akses-luas-untuk-komnas-ham,1
"Soal Insiden Wadas, Pemerintah Buka Akses Luas untuk Komnas HAM","Pemerintah membuka akses luas kepada Komnas HAM untuk menyelidiki insiden di Desa Wadas, Jawa Tengah.",https://news.detik.com/detiktv/d-5935001/komisi-iv-dpr-bakal-panggil-pemerintah-warga-bahas-kisruh-wadas,1
Komisi IV DPR Bakal Panggil Pemerintah-Warga Bahas Kisruh Wadas,Komisi IV DPR berencana panggil pemerintah dan perwakilan warga bahas kisruh di Wadas. Untuk mengetahui harapan warga terkait pembangunan Bendungan Bener.,https://news.detik.com/berita/d-5929260/seskab-bicara-uu-ite-pemerintah-dianggap-represif-ke-oposisi-padahal-bukan,1
"Seskab Bicara UU ITE: Pemerintah Dianggap Represif ke Oposisi, Padahal Bukan",Menteri Sekretaris Kabinet (Menseskab) Pramono Anung sempat berbicara terkait UU ITE. Dia menyebut pemerintah tak pernah represif atau menekan kritik oposisi.,https://news.detik.com/berita/d-5928281/ylbhi-kritik-proses-ruu-tpks-di-pemerintah-tertutup-dan-penuh-rahasia,1
YLBHI Kritik Proses RUU TPKS di Pemerintah Tertutup dan Penuh Rahasia,"YLBHI, jaringan masyarakat sipil, dan akademisi diundang Gugus Tugas RUU TPKS yang dikoordinatori KSP Moeldoko. YLBHI menilai pembahasan terkesan tertutup.",https://finance.detik.com/detiktv/d-5923624/dear-pak-mendag-harga-minyak-goreng-di-purwakarta-jauh-dari-normal,1
"Dear Pak Mendag, Harga Minyak Goreng di Purwakarta Jauh dari Normal",Pemerintah resmi menurunkan harga minyak goreng pada Selasa (1/2/2022). Namun kenyataan stok minyak goreng masih langka di sejumlah pasar di Purwakarta.,https://news.detik.com/berita/d-5920878/ketum-pbnu-nusantara-itu-singkatan-nu-santri-pemerintah-dan-rakyat,1
"Ketum PBNU: Nusantara Itu Singkatan NU, Santri, Pemerintah, dan Rakyat","Ketua Umum PBNU Yahya Cholil Staquf mengatakan Nusantara adalah singkatan dari NU, Santri, Pemerintah, dan Rakyat.",https://news.detik.com/berita/d-5918490/muncul-spekulan-tanah-di-ikn-pemerintah-siapkan-pp-pertanahan,1
"Muncul Spekulan Tanah di IKN, Pemerintah Siapkan PP Pertanahan",Pemerintah saat ini sedang menyusun peraturan pemerintah (PP) tentang status pertanahan di kawasan IKN untuk mengantisipasi terjadinya sengketa tanah.,https://news.detik.com/berita/d-5902616/pansus-dpr-pemerintah-setuju-ruu-ikn-dibawa-ke-paripurna-pks-menolak,1
"Pemerintah Cabut Larangan Ekspor Batu Bara, PKS: Kebijakan Plin-Plan",Pemerintah mencabut larangan ekspor batu bara mulai Senin (10/1). PKS menyebut pemerintah plin-plan dalam membuat kebijakan.,https://news.detik.com/berita/d-5881838/aturan-baru-lagi-karantina-dari-luar-negeri-jadi-10-atau-7-hari,1
"Aturan Baru Lagi, Karantina dari Luar Negeri Jadi 10 atau 7 Hari",Pemerintah menggelar rapat terbatas yang salah satu keputusannya mengubah waktu karantina dari luar negeri. Karantina dari luar negeri jadi 10 hari dan 7 hari.,https://news.detik.com/berita/d-5880942/begini-sikap-pemerintah-soal-konsumen-prostitusi-artis-tak-dibui-di-kasus-robby,1
Begini Sikap Pemerintah soal Konsumen Prostitusi Artis Tak Dibui di Kasus Robby,Melihat lagi sikap pemerintah soal konsumen prostitusi artis tidak dipenjara di kasus muncikari Robby Abbas.,https://www.detik.com/edu/detikpedia/d-5879186/ini-pentingnya-menjaga-keseimbangan-alam-dan-kelestarian-sumber-daya-alam,1
Ini Pentingnya Menjaga Keseimbangan Alam dan Kelestarian Sumber Daya Alam,Keseimbangan dan kelestarian sumber daya alam penting dilakukan agar setiap makhluk bisa saling memberi kehidupan. Bagaimana caranya?,https://news.detik.com/berita/d-5874913/ketua-banggar-dpr-apresiasi-penerimaan-pajak-tembus-target,1
Ketua Banggar DPR Apresiasi Penerimaan Pajak Tembus Target,Ketua Banggar DPR Said Abdullah memberikan apresiasi atas pencapaian target pajak yang ditetapkan oleh pemerintah.,https://www.detik.com/edu/detikpedia/d-5872437/kewenangan-pemerintah-pusat-menurut-undang-undang,1
Kewenangan Pemerintah Pusat Menurut Undang-undang,Terdapat enam kewenangan yang dimiliki Pemerintah Pusat yang tak bisa dilimpahkan ke Pemerintah Daerah. Apa saja?,https://news.detik.com/berita/d-5857591/dpr-minta-pemerintah-pertimbangkan-aturan-nataru-usai-omicron-masuk-ri,1
DPR Minta Pemerintah Pertimbangkan Aturan Nataru Usai Omicron Masuk RI,Kasus pertama virus Corona varian Omicron terkonfirmasi masuk ke Indonesia. Apa permintaan DPR ke pemerintah terkait kasus Omicron itu?,https://www.detik.com/edu/detikpedia/d-5847961/hari-antikorupsi-sedunia-9-desember-2021-seperti-apa-sih-sejarahnya,1
"Hari Antikorupsi Sedunia 9 Desember 2021, Seperti Apa Sih Sejarahnya?",Hari ini menjadi momen spesial karena diperingati sebagai Hari Anti Korupsi sedunia. Siswa tahu bagaimana sejarahnya?,https://news.detik.com/berita/d-5843108/komisi-iii-dpr-pemerintah-setuju-ruu-kejaksaan-dibawa-ke-paripurna,1
Komisi III DPR-Pemerintah Setuju RUU Kejaksaan Dibawa ke Paripurna,"Komisi III DPR RI menggelar rapat kerja bersama Kemenkumham, Kejaksaan Agung, hingga Kementerian Keuangan terkait pengambilan keputusan tingkat I RUU Kejaksaan.",https://news.detik.com/berita/d-5843086/pemerintah-usulkan-12-ruu-masuk-prolegnas-prioritas-2022-ada-kuhp-bpip,1
Pimpinan DPR Minta Pemerintah Segera Evakuasi Warga Sekitar Gunung Semeru,Wakil Ketua DPR RI Sufmi Dasco Ahmad meminta pemerintah dan pihak terkait segera tanggap menanggulangi bencana tersebut.,https://inet.detik.com/cyberlife/d-5839226/twitter-hapus-3400-akun-buzzer-pemerintah,1
Twitter Hapus 3.400 Akun Buzzer Pemerintah,Twitter dilaporkan telah menghapus secara permanen lebih dari 3.400 akun yang terkait dengan pemerintah.,https://news.detik.com/berita/d-5813302/polemik-jadwal-pemilu-2024-pks-ungkit-isu-perpanjangan-jabatan-pemerintah,1
"Polemik Jadwal Pemilu 2024, PKS Ungkit Isu Perpanjangan Jabatan Pemerintah",Jadwal penyelenggaraan Pemilu 2024 sampai saat ini belum juga ditentukan. Anggota Komisi II DPR Mardani Ali Sera berharap jadwal segera diputuskan.,https://news.detik.com/berita/d-5804695/pemerintah-dpr-hampir-sepakat-soal-ruu-perlindungan-data-pribadi,1
Pemerintah-DPR Hampir Sepakat soal RUU Perlindungan Data Pribadi,"Terkini, pimpinan DPR menyebut pembahasan RUU Perlindungan Data Pribadi menuju finalisasi dan bisa disepakati pada masa sidang saat ini.",https://news.detik.com/detiktv/d-5802326/luhut-soal-perubahan-aturan-pemerintah-konsisten-covid-nya-tidak,1
"Luhut soal Perubahan Aturan: Pemerintah Konsisten, Covid-nya Tidak","Luhut tak ingin masyarakat menganggap pemerintah tak konsisten menangani pandemi Covid-19. Menurutnya, selama ini pemerintah menerapkan aturan berdasarkan data.",https://news.detik.com/berita/d-5791522/pemerintah-akan-buat-aplikasi-baru-proaktif-tracing,1
Pemerintah Akan Buat Aplikasi Baru: Proaktif Tracing,Pemerintah akan membuat aplikasi baru. Aplikasi tersebut bernama Proaktif Tracing.,https://news.detik.com/berita/d-5788422/jokowi-saya-sadar-begitu-banyak-kritik-ke-pemerintah,1
Jokowi: Saya Sadar Begitu Banyak Kritik ke Pemerintah,"""Saya juga menyadari begitu banyak kritikan kepada pemerintah, terutama terhadap hal-hal yang belum bisa kita selesaikan,"" kata Jokowi.",https://news.detik.com/detiktv/d-5786757/ketum-kasbi-2-tahun-ini-rezim-jokowi-maruf-gagal-urus-bangsa,1
Ketum KASBI: 2 Tahun Ini Rezim Jokowi-Ma'ruf Gagal Urus Bangsa!,"Ketua Umum Kongres Aliansi Serikat Buruh Indonesia (KASBI), Nining Elitos, mengatakan demo kali ini dilakukan akibat pemerintah gagal menyejahterakan rakyat.",https://www.detik.com/edu/detikpedia/d-5771168/apa-itu-sistem-monarki-ini-penjelasan-jenis-dan-contoh-negaranya,1
"Apa Itu Sistem Monarki? Ini Penjelasan, Jenis, dan Contoh Negaranya","Sistem monarki merupakan salah satu sistem pemerintahan negara. Berikut adalah penjelasan, jenis, dan contoh negara dari sistem monarki.",https://www.detik.com/edu/detikpedia/d-5766029/good-governance--pengertian-dan-prinsip-prinsipnya,1
Beda Sikap PDIP dan Pemerintah soal Tanggal Coblosan Pemilu 2024,"Tanggal coblosan Pemilu 2024 masih belum pasti setelah pemerintah dan partai-partai di DPR, termasuk penyelenggara pemilu, yakni KPU, berbeda sikapnya.",https://news.detik.com/berita/d-5760971/akabri-1999-peduli-vaksinasi-baksos-dan-kekebalan-komunal,1
"Akabri 1999 Peduli Vaksinasi, Baksos dan Kekebalan Komunal","Pandemi COVID-19 meluluhlantakkan sektor kesehatan hingga perekonomian masyarakat. Pemerintah hadir untuk membantu masyarakat, salah satunya memberikan bansos.",https://sport.detik.com/detiktv/d-5759888/intip-penerapan-prokes-di-tempat-gym-jakarta-saat-ppkm-diperlonggar,1
Intip Penerapan Prokes di Tempat Gym Jakarta saat PPKM Diperlonggar,Pemerintah memutuskan untuk membuka pusat kebugaran di wilayah PPKM level 3. Lantas bagaimana penerapan aturannya?,https://www.detik.com/edu/edutainment/d-5756583/menghitung-peninjauan-masa-kerja-pns-bagaimana-caranya,1
"Menghitung Peninjauan Masa Kerja PNS, Bagaimana Caranya?",Peninjauan masa kerja PNS bisa dilakukan pada PNS yang pernah bekerja di instansi lain. Bagaimana cara menghitung peninjauan masa kerja PNS?,https://news.detik.com/berita/d-5756539/skema-pemilu-2024-pemerintah-usul-15-mei-kpu-21-februari,1
"Skema Pemilu 2024: Pemerintah Usul 15 Mei, KPU 21 Februari","Jadwal Pemilu 2024 belum juga diputuskan hingga saat ini. Sebab, baik pemerintah maupun penyelenggara pemilu, dalam hal ini KPU, masih memiliki rencana berbeda.",https://www.detik.com/edu/edutainment/d-5755193/mengenal-kepangkatan-pns-ini-daftar-lengkap-golongannya,1
"Mengenal Kepangkatan PNS, Ini Daftar Lengkap Golongannya",Kepangkatan PNS dibedakan menjadi beberapa golongan. Berikut daftar lengkap agar detikers bisa membedakannya.,https://news.detik.com/berita/d-5744508/mencuat-pro-kontra-usai-15-mei-diusulkan-untuk-pemilu-2024,1
Mencuat Pro-Kontra Usai 15 Mei Diusulkan untuk Pemilu 2024,Usulan pemerintah agar hasil perolehan suara Pemilu 2024 diumumkan 15 Mei 2024 menuai sorotan. Beberapa partai koalisi pemerintah terang-terangan tak setuju.,https://news.detik.com/berita/d-5743472/pks-tolak-usul-pemerintah-pemilu-2024-digelar-15-mei,1
PKS Tolak Usul Pemerintah Pemilu 2024 Digelar 15 Mei,"Pemerintah mengusulkan agar pemungutan suara Pemilu 2024 digelar pada 15 Mei. Elite PKS yang bertugas di Komisi II DPR RI, Mardani Ali Sera menolak usul Mahfud.",https://news.detik.com/detiktv/d-5735085/100-tokoh-bangsa-minta-pemerintah-tak-ambigu-tangani-covid-19,1
100 Tokoh Bangsa Minta Pemerintah Tak Ambigu Tangani Covid-19,"100 tokoh bangsa, di antaranya Said Aqil Siradj, Haedar Nashir, dan Jusuf Kalla minta pemerintah tidak bersikap ambigu dalam mengambil kebijakan atasi Covid-19.",https://www.detik.com/edu/detikpedia/d-5726301/pasal-31-uud-negara-republik-indonesia-1945-tentang-apa,1
